train_id,train_number,train_name,train_type,priority_level,scheduled_route,coach_length,max_speed_kmph
TRN0028,14114,Meerut City–Prayagraj Sangam,Passenger,4,"STN095,STN096,STN023",18,110
TRN0029,04401,NDLS–Ambala MEMU,Passenger,5,"STN102,STN045,STN004",16,100
TRN0030,04402,Ambala–NDLS MEMU,Passenger,5,"STN004,STN045,STN102",16,100
TRN0031,04411,NDLS–Meerut EMU,Passenger,5,"STN102,STN060,STN095",16,100
TRN0032,04412,Meerut–NDLS EMU,Passenger,5,"STN095,STN060,STN102",16,100
TRN0033,04301,Delhi–Rohtak Passenger,Passenger,5,"STN102,STN119,STN120",16,100
TRN0034,04302,Rohtak–Delhi Passenger,Passenger,5,"STN120,STN119,STN102",16,100
TRN0035,04311,Delhi–Panipat Passenger,Passenger,5,"STN102,STN119,STN088,STN104",16,100
TRN0036,04312,Panipat–Delhi Passenger,Passenger,5,"STN104,STN088,STN119,STN102",16,100
TRN0037,04321,Delhi–Sonipat Passenger,Passenger,5,"STN102,STN134",16,100
TRN0038,04322,Sonipat–Delhi Passenger,Passenger,5,"STN134,STN102",16,100
TRN0039,04331,Delhi–Ghaziabad EMU,Passenger,5,"STN102,STN053,STN053,STN053,STN053,STN053,STN053,STN053,STN053,STN053,STN053,STN053,STN053,STN053,STN053,STN053,STN053,STN053,STN053,STN053,STN053,STN053,STN053,STN053,STN053,STN053,STN053,STN053,STN053,STN053,STN053,STN053,STN053",16,100
TRN0040,04332,Ghaziabad–Delhi EMU,Passenger,5,"STN053,STN102",16,100
TRN0041,14631,Dehradun–Amritsar Express,Express,3,"STN041,STN063,STN123,STN004,STN093,STN074,STN006",22,120
TRN0042,14632,Amritsar–Dehradun Express,Express,3,"STN006,STN074,STN093,STN004,STN123,STN063,STN041",22,120
TRN0043,12231,Lucknow–Chandigarh Express (NR section),Superfast,2,"STN021,STN102,STN045,STN004,STN037",22,130
TRN0044,12232,Chandigarh–Lucknow Express (NR section),Superfast,2,"STN037,STN004,STN045,STN102,STN021",22,130
TRN0045,15011,Lucknow–Chandigarh Express (Alt),Express,3,"STN021,STN102,STN045,STN004,STN037",22,120
TRN0046,15012,Chandigarh–Lucknow Express (Alt),Express,3,"STN037,STN004,STN045,STN102,STN021",22,120
TRN0047,12925,Paschim Express (NR section),Superfast,2,"STN102,STN045,STN004,STN037",22,130
TRN0048,12926,Paschim Express (NR section R),Superfast,2,"STN037,STN004,STN045,STN102",22,130
TRN0049,12497,Shane Punjab,Superfast,2,"STN102,STN045,STN004,STN093,STN074,STN006",22,130
TRN0050,12498,Shane Punjab R,Superfast,2,"STN006,STN074,STN093,STN004,STN045,STN102",22,130
TRN0051,12001,New Delhi–Rani Kamlapati Shatabdi (NR sec),Superfast,1,"STN102,STN064",16,130
TRN0052,12002,Rani Kamlapati–New Delhi Shatabdi (NR sec),Superfast,1,"STN064,STN102",16,130
TRN0053,12003,New Delhi–Lucknow Shatabdi (NR sec),Superfast,1,"STN102,STN021",16,130
TRN0054,12004,Lucknow–New Delhi Shatabdi (NR sec),Superfast,1,"STN021,STN102",16,130
TRN0055,12011,New Delhi–Kalka Shatabdi (Alt),Superfast,1,"STN102,STN045,STN004,STN036,STN080",16,130
TRN0056,12012,Kalka–New Delhi Shatabdi (Alt),Superfast,1,"STN080,STN036,STN004,STN045,STN102",16,130
TRN0057,12033,Kanpur–New Delhi Shatabdi (NR sec),Superfast,1,"STN096,STN119,STN102",16,130
TRN0058,12034,New Delhi–Kanpur Shatabdi (NR sec),Superfast,1,"STN102,STN119,STN096",16,130
TRN0059,12039,Kathgodam–New Delhi Shatabdi,Superfast,1,"STN097,STN096,STN102",16,130
TRN0060,12040,New Delhi–Kathgodam Shatabdi,Superfast,1,"STN102,STN096,STN097",16,130
TRN0061,22435,New Delhi–Varanasi Vande Bharat (NR sec),Superfast,1,"STN102,STN119",16,160
TRN0062,22436,Varanasi–New Delhi Vande Bharat (NR sec),Superfast,1,"STN119,STN102",16,160
TRN0063,22447,New Delhi–Una Vande Bharat (NR sec),Superfast,1,"STN102,STN045,STN004,STN037,STN003",16,160
TRN0064,22448,Una–New Delhi Vande Bharat (NR sec),Superfast,1,"STN003,STN037,STN004,STN045,STN102",16,160
TRN0065,22457,Anand Vihar–Dehradun Vande Bharat,Superfast,1,"STN009,STN053,STN063,STN041",16,160
TRN0066,22458,Dehradun–Anand Vihar Vande Bharat,Superfast,1,"STN041,STN063,STN053,STN009",16,160
TRN0067,12431,Trivandrum Rajdhani (NR sec via HWH),Superfast,1,"STN102,STN064,STN041",22,140
TRN0068,12432,Trivandrum Rajdhani (NR sec R),Superfast,1,"STN041,STN064,STN102",22,140
TRN0069,12437,New Delhi–Secunderabad Rajdhani (NR sec),Superfast,1,"STN102,STN064",22,140
TRN0070,12438,Secunderabad–New Delhi Rajdhani (NR sec),Superfast,1,"STN064,STN102",22,140
TRN0071,12925,Paschim Express (NR sec),Superfast,2,"STN102,STN045,STN004,STN037",22,130
TRN0072,12926,Paschim Express (NR sec R),Superfast,2,"STN037,STN004,STN045,STN102",22,130
TRN0073,12497,Shane Punjab,Superfast,2,"STN102,STN045,STN004,STN093,STN074,STN006",22,130
TRN0074,12498,Shane Punjab R,Superfast,2,"STN006,STN074,STN093,STN004,STN045,STN102",22,130
TRN0075,12287,Dehradun–Kota SF (NR sec),Superfast,2,"STN041,STN063,STN053,STN102",22,130
TRN0076,12288,Kota–Dehradun SF (NR sec),Superfast,2,"STN102,STN053,STN063,STN041",22,130
TRN0077,14681,NDLS–Jalandhar Intercity,Express,3,"STN102,STN045,STN004,STN093,STN074",22,120
TRN0078,14682,Jalandhar–NDLS Intercity,Express,3,"STN074,STN093,STN004,STN045,STN102",22,120
TRN0079,14661,NDLS–Barmer (NR sec to Rewari),Express,3,"STN102,STN119,STN117",22,120
TRN0080,14662,Barmer–NDLS (NR sec from Rewari),Express,3,"STN117,STN119,STN102",22,120
TRN0081,14673,Amritsar–Jaynagar (NR sec to NDLS),Express,3,"STN006,STN074,STN093,STN004,STN045,STN102",22,120
TRN0082,14674,Jaynagar–Amritsar (NR sec from NDLS),Express,3,"STN102,STN045,STN004,STN093,STN074,STN006",22,120
TRN0083,14033,Jammu–Delhi Express,Passenger,4,"STN075,STN006,STN074,STN093,STN004,STN045,STN102",18,110
TRN0084,14034,Delhi–Jammu Express,Passenger,4,"STN102,STN045,STN004,STN093,STN074,STN006,STN075",18,110
TRN0085,14309,NDLS–Ujjain (NR sec to Delhi Cantt),Express,3,"STN102,STN045",22,120
TRN0086,14310,Ujjain–NDLS (NR sec from Delhi Cantt),Express,3,"STN045,STN102",22,120
TRN0087,12459,NDLS–Amritsar Intercity,Express,2,"STN102,STN045,STN004,STN093,STN074,STN006",22,120
TRN0088,12460,Amritsar–NDLS Intercity,Express,2,"STN006,STN074,STN093,STN004,STN045,STN102",22,120
TRN0089,12235,Anand Vihar–Kanpur SF (NR sec),Superfast,2,"STN009,STN119,STN096",20,130
TRN0090,12236,Kanpur–Anand Vihar SF (NR sec),Superfast,2,"STN096,STN119,STN009",20,130
TRN0091,12029,NDLS–ASR Swarna Shatabdi,Superfast,1,"STN102,STN045,STN004,STN093,STN074,STN006",16,130
TRN0092,12030,ASR–NDLS Swarna Shatabdi,Superfast,1,"STN006,STN074,STN093,STN004,STN045,STN102",16,130
TRN0093,04011,NDLS–Haridwar MEMU,Passenger,5,"STN102,STN053,STN123,STN063",16,100
TRN0094,04012,Haridwar–NDLS MEMU,Passenger,5,"STN063,STN123,STN053,STN102",16,100
TRN0095,04341,Delhi–Rewari Passenger,Passenger,5,"STN102,STN119,STN117",16,100
TRN0096,04342,Rewari–Delhi Passenger,Passenger,5,"STN117,STN119,STN102",16,100
TRN0097,04351,Delhi–Karnal Passenger,Passenger,5,"STN102,STN119,STN088,STN082",16,100
TRN0098,04352,Karnal–Delhi Passenger,Passenger,5,"STN082,STN088,STN119,STN102",16,100
TRN0099,04361,Delhi–Kurukshetra Passenger,Passenger,5,"STN102,STN119,STN088,STN088,STN088,STN088,STN088,STN088,STN088,STN088,STN088,STN088,STN088,STN088,STN088,STN088,STN088,STN088,STN088,STN088",16,100
TRN0100,04362,Kurukshetra–Delhi Passenger,Passenger,5,"STN088,STN119,STN102",16,100
TRN0101,04371,Delhi–Ambala Passenger,Passenger,5,"STN102,STN045,STN004",16,100
TRN0102,04372,Ambala–Delhi Passenger,Passenger,5,"STN004,STN045,STN102",16,100
TRN0103,04381,Delhi–Ghaziabad EMU,Passenger,5,"STN102,STN053",16,100
TRN0104,04382,Ghaziabad–Delhi EMU,Passenger,5,"STN053,STN102",16,100
TRN0105,14615,NDLS–Lohian Khas (NR sec),Express,3,"STN102,STN045,STN004,STN093,STN074",22,120
TRN0106,14616,Lohian Khas–NDLS (NR sec),Express,3,"STN074,STN093,STN004,STN045,STN102",22,120
TRN0107,14653,NDLS–Amritsar Exp (via Rohtak),Express,3,"STN102,STN119,STN120,STN004,STN093,STN074,STN006",22,120
TRN0108,14654,Amritsar–NDLS Exp (via Rohtak),Express,3,"STN006,STN074,STN093,STN004,STN120,STN119,STN102",22,120
TRN0109,04673,NDLS–Kalka Holiday Spl (NR sec),Superfast,2,"STN102,STN045,STN004,STN036,STN080",16,130
TRN0110,04674,Kalka–NDLS Holiday Spl (NR sec),Superfast,2,"STN080,STN036,STN004,STN045,STN102",16,130
TRN0111,12407,NDLS–Prayagraj (NR sec),Superfast,2,"STN102,STN119",22,130
TRN0112,12408,Prayagraj–NDLS (NR sec),Superfast,2,"STN119,STN102",22,130
TRN0113,14553,NDLS–Rohtak–Bhiwani Passenger,Passenger,5,"STN102,STN119,STN120,STN029",16,100
TRN0114,14554,Bhiwani–Rohtak–NDLS Passenger,Passenger,5,"STN029,STN120,STN119,STN102",16,100
TRN0115,14605,Haridwar–Jammu Express (NR sec),Express,3,"STN063,STN123,STN004,STN093,STN074,STN006,STN075",22,120
TRN0116,14606,Jammu–Haridwar Express (NR sec),Express,3,"STN075,STN006,STN074,STN093,STN004,STN123,STN063",22,120
TRN0117,14085,Delhi–Sirsa Passenger (NR sec),Passenger,5,"STN102,STN119,STN082",16,100
TRN0118,14086,Sirsa–Delhi Passenger (NR sec),Passenger,5,"STN082,STN119,STN102",16,100
TRN0119,04421,ANVT–Meerut EMU,Passenger,5,"STN009,STN060,STN095",16,100
TRN0120,04422,Meerut–ANVT EMU,Passenger,5,"STN095,STN060,STN009",16,100
TRN0121,04391,Delhi–Palwal EMU (NR sec to border),Passenger,5,"STN102,STN048",16,100
TRN0122,04392,Palwal–Delhi EMU (NR sec from border),Passenger,5,"STN048,STN102",16,100
TRN0123,04361,Delhi–Panipat MEMU,Passenger,5,"STN102,STN119,STN088,STN104",16,100
TRN0124,04362,Panipat–Delhi MEMU,Passenger,5,"STN104,STN088,STN119,STN102",16,100
TRN0125,04371,Delhi–Ambala MEMU,Passenger,5,"STN102,STN045,STN004",16,100
TRN0126,04372,Ambala–Delhi MEMU,Passenger,5,"STN004,STN045,STN102",16,100
TRN0127,04381,Delhi–Ghaziabad MEMU,Passenger,5,"STN102,STN053",16,100
TRN0128,04382,Ghaziabad–Delhi MEMU,Passenger,5,"STN053,STN102",16,100
TRN0129,12445,Uttar Sampark Kranti (NR sec),Superfast,2,"STN102,STN045,STN004,STN093,STN074,STN006,STN075",20,130
TRN0130,12446,Uttar Sampark Kranti (NR sec R),Superfast,2,"STN075,STN006,STN074,STN093,STN004,STN045,STN102",20,130
TRN0131,12205,NDLS–Dehradun Nanda Devi Exp,Superfast,2,"STN102,STN053,STN123,STN063,STN041",22,130
TRN0132,12206,Dehradun–NDLS Nanda Devi Exp,Superfast,2,"STN041,STN063,STN123,STN053,STN102",22,130
TRN0133,12463,Delhi–Sri Ganganagar (NR sec),Superfast,2,"STN102,STN045,STN004,STN093,STN074",22,130
TRN0134,12464,Sri Ganganagar–Delhi (NR sec),Superfast,2,"STN074,STN093,STN004,STN045,STN102",22,130
TRN0135,14601,Firozpur–Shri Mata Vaishno Devi Katra (NR sec),Express,3,"STN074,STN093,STN004,STN045,STN102,STN064,STN075",22,120
TRN0136,14602,SMVD Katra–Firozpur (NR sec),Express,3,"STN075,STN064,STN102,STN045,STN004,STN093,STN074",22,120
TRN0137,14631,Dehradun–Amritsar Exp,Express,3,"STN041,STN063,STN123,STN004,STN093,STN074,STN006",22,120
TRN0138,14632,Amritsar–Dehradun Exp,Express,3,"STN006,STN074,STN093,STN004,STN123,STN063,STN041",22,120
TRN0139,04301,Delhi–Rohtak Passenger,Passenger,5,"STN102,STN119,STN120",16,100
TRN0140,04302,Rohtak–Delhi Passenger,Passenger,5,"STN120,STN119,STN102",16,100
TRN0141,04303,Delhi–Rewari Passenger,Passenger,5,"STN102,STN119,STN117",16,100
TRN0142,04304,Rewari–Delhi Passenger,Passenger,5,"STN117,STN119,STN102",16,100
TRN0143,04305,Delhi–Hapur MEMU,Passenger,5,"STN102,STN060,STN060,STN060",16,100
TRN0144,04306,Hapur–Delhi MEMU,Passenger,5,"STN060,STN060,STN060,STN102",16,100
TRN0145,04307,Delhi–Meerut MEMU,Passenger,5,"STN102,STN060,STN095",16,100
TRN0146,04308,Meerut–Delhi MEMU,Passenger,5,"STN095,STN060,STN102",16,100
TRN0147,04309,Delhi–Shamli Passenger (NR sec),Passenger,5,"STN102,STN060",16,100
TRN0148,04310,Shamli–Delhi Passenger (NR sec),Passenger,5,"STN060,STN102",16,100
TRN0149,04313,Delhi–Ghaziabad EMU,Passenger,5,"STN102,STN053",16,100
TRN0150,04314,Ghaziabad–Delhi EMU,Passenger,5,"STN053,STN102",16,100
TRN0151,12007,New Delhi–Moga Shatabdi (NR sec),Superfast,1,"STN102,STN045,STN004,STN093,STN074",16,130
TRN0152,12008,Moga–New Delhi Shatabdi (NR sec),Superfast,1,"STN074,STN093,STN004,STN045,STN102",16,130
TRN0153,22451,Anand Vihar–Jabalpur Vande Bharat (NR sec),Superfast,1,"STN009,STN119",16,160
TRN0154,22452,Jabalpur–Anand Vihar Vande Bharat (NR sec),Superfast,1,"STN119,STN009",16,160
TRN0155,22459,Anand Vihar–Katihar Vande Bharat (NR sec),Superfast,1,"STN009,STN119,STN102",16,160
TRN0156,22460,Katihar–Anand Vihar Vande Bharat (NR sec),Superfast,1,"STN102,STN119,STN009",16,160
TRN0157,12441,Bilaspur–New Delhi Rajdhani (NR sec),Superfast,1,"STN102,STN064",22,140
TRN0158,12442,New Delhi–Bilaspur Rajdhani (NR sec),Superfast,1,"STN064,STN102",22,140
TRN0159,12423,New Delhi–Dibrugarh Rajdhani (NR sec),Superfast,1,"STN102,STN064",22,140
TRN0160,12424,Dibrugarh–New Delhi Rajdhani (NR sec),Superfast,1,"STN064,STN102",22,140
TRN0161,12471,New Delhi–Shrimata Vaishno Devi Katra Swaraj SF (NR sec),Superfast,2,"STN102,STN045,STN004,STN093,STN074,STN006,STN075",22,130
TRN0162,12472,Swaraj SF Return (NR sec),Superfast,2,"STN075,STN006,STN074,STN093,STN004,STN045,STN102",22,130
TRN0163,12205,New Delhi–Dehradun Nanda Devi,Superfast,2,"STN102,STN053,STN123,STN063,STN041",22,130
TRN0164,12206,Dehradun–New Delhi Nanda Devi,Superfast,2,"STN041,STN063,STN123,STN053,STN102",22,130
TRN0165,12413,New Delhi–Amritsar Shatabdi (evening),Superfast,1,"STN102,STN045,STN004,STN093,STN074,STN006",16,130
TRN0166,12414,Amritsar–New Delhi Shatabdi (morning),Superfast,1,"STN006,STN074,STN093,STN004,STN045,STN102",16,130
TRN0167,14511,Nizamuddin–Ambala Intercity,Express,2,"STN064,STN045,STN004",22,120
TRN0168,14512,Ambala–Nizamuddin Intercity,Express,2,"STN004,STN045,STN064",22,120
TRN0169,12411,Chandigarh–Amritsar Intercity (NR sec),Express,2,"STN037,STN004,STN093,STN074,STN006",22,120
TRN0170,12412,Amritsar–Chandigarh Intercity (NR sec),Express,2,"STN006,STN074,STN093,STN004,STN037",22,120
TRN0171,12483,Kochuveli–Amritsar (NR sec),Superfast,2,"STN006,STN074,STN093,STN004,STN045,STN102",22,130
TRN0172,12484,Amritsar–Kochuveli (NR sec),Superfast,2,"STN102,STN045,STN004,STN093,STN074,STN006",22,130
TRN0173,12497,Shane Punjab (Alt),Superfast,2,"STN102,STN045,STN004,STN093,STN074,STN006",22,130
TRN0174,12498,Shane Punjab (Alt R),Superfast,2,"STN006,STN074,STN093,STN004,STN045,STN102",22,130
TRN0175,14653,New Delhi–Amritsar Express (via Rohtak),Express,3,"STN102,STN119,STN120,STN004,STN093,STN074,STN006",22,120
TRN0176,14654,Amritsar–New Delhi Express (via Rohtak),Express,3,"STN006,STN074,STN093,STN004,STN120,STN119,STN102",22,120
TRN0177,14649,Amritsar–Hissar (NR sec),Express,3,"STN006,STN074,STN093,STN004,STN045,STN102",22,120
TRN0178,14650,Hissar–Amritsar (NR sec),Express,3,"STN102,STN045,STN004,STN093,STN074,STN006",22,120
TRN0179,14503,Old Delhi–Kalka Himalayan Queen (NR sec),Express,2,"STN043,STN045,STN004,STN036,STN080",22,120
TRN0180,14504,Kalka–Old Delhi Himalayan Queen (NR sec),Express,2,"STN080,STN036,STN004,STN045,STN043",22,120
TRN0181,14521,Ambala–Nangal Dam (NR sec),Express,3,"STN004,STN037,STN022",22,120
TRN0182,14522,Nangal Dam–Ambala (NR sec),Express,3,"STN022,STN037,STN004",22,120
TRN0183,14553,Old Delhi–Bhiwani Passenger (NR sec),Passenger,5,"STN043,STN119,STN120,STN029",16,100
TRN0184,14554,Bhiwani–Old Delhi Passenger (NR sec),Passenger,5,"STN029,STN120,STN119,STN043",16,100
TRN0185,04409,NDLS–Shamli EMU (NR sec),Passenger,5,"STN102,STN060",16,100
TRN0186,04410,Shamli–NDLS EMU (NR sec),Passenger,5,"STN060,STN102",16,100
TRN0187,04413,NDLS–Ghaziabad EMU,Passenger,5,"STN102,STN053",16,100
TRN0188,04414,Ghaziabad–NDLS EMU,Passenger,5,"STN053,STN102",16,100
TRN0189,04321,Delhi–Sonipat Passenger,Passenger,5,"STN102,STN134",16,100
TRN0190,04322,Sonipat–Delhi Passenger,Passenger,5,"STN134,STN102",16,100
TRN0191,04323,Delhi–Panipat Passenger,Passenger,5,"STN102,STN119,STN088,STN104",16,100
TRN0192,04324,Panipat–Delhi Passenger,Passenger,5,"STN104,STN088,STN119,STN102",16,100
TRN0193,04325,Delhi–Ambala Passenger,Passenger,5,"STN102,STN045,STN004",16,100
TRN0194,04326,Ambala–Delhi Passenger,Passenger,5,"STN004,STN045,STN102",16,100
TRN0195,04327,Delhi–Meerut MEMU,Passenger,5,"STN102,STN060,STN095",16,100
TRN0196,04328,Meerut–Delhi MEMU,Passenger,5,"STN095,STN060,STN102",16,100
TRN0197,04329,Delhi–Ghaziabad MEMU,Passenger,5,"STN102,STN053",16,100
TRN0198,04330,Ghaziabad–Delhi MEMU,Passenger,5,"STN053,STN102",16,100
TRN0199,04331,Delhi–Rewari Passenger,Passenger,5,"STN102,STN119,STN117",16,100
TRN0200,04332,Rewari–Delhi Passenger,Passenger,5,"STN117,STN119,STN102",16,100
TRN0201,04649,New Delhi–Shri Vaishno Devi Katra SF (NR sec),Superfast,2,"STN102,STN045,STN004,STN093,STN074,STN006,STN075",22,130
TRN0202,04650,Shri Vaishno Devi Katra–New Delhi SF (NR sec),Superfast,2,"STN075,STN006,STN074,STN093,STN004,STN045,STN102",22,130
TRN0203,12037,New Delhi–Ludhiana Shatabdi (NR sec),Superfast,1,"STN102,STN045,STN004,STN093",16,130
TRN0204,12038,Ludhiana–New Delhi Shatabdi (NR sec),Superfast,1,"STN093,STN004,STN045,STN102",16,130
TRN0205,12421,New Delhi–Amritsar Intercity (Alt),Express,2,"STN102,STN045,STN004,STN093,STN074,STN006",22,120
TRN0206,12422,Amritsar–New Delhi Intercity (Alt),Express,2,"STN006,STN074,STN093,STN004,STN045,STN102",22,120
TRN0207,14519,Old Delhi–Ambala Intercity,Express,2,"STN043,STN045,STN004",22,120
TRN0208,14520,Ambala–Old Delhi Intercity,Express,2,"STN004,STN045,STN043",22,120
TRN0209,14523,Ambala–Laksar Passenger (NR sec),Passenger,5,"STN004,STN123,STN063",16,100
TRN0210,14524,Laksar–Ambala Passenger (NR sec),Passenger,5,"STN063,STN123,STN004",16,100
TRN0211,14525,Ambala–Dehradun Passenger (NR sec),Passenger,5,"STN004,STN123,STN063,STN041",16,100
TRN0212,14526,Dehradun–Ambala Passenger (NR sec),Passenger,5,"STN041,STN063,STN123,STN004",16,100
TRN0213,04341,Delhi–Ganaur EMU,Passenger,5,"STN102,STN134",16,100
TRN0214,04342,Ganaur–Delhi EMU,Passenger,5,"STN134,STN102",16,100
TRN0215,04343,Delhi–Sonipat EMU,Passenger,5,"STN102,STN134",16,100
TRN0216,04344,Sonipat–Delhi EMU,Passenger,5,"STN134,STN102",16,100
TRN0217,04345,Delhi–Panipat MEMU,Passenger,5,"STN102,STN119,STN088,STN104",16,100
TRN0218,04346,Panipat–Delhi MEMU,Passenger,5,"STN104,STN088,STN119,STN102",16,100
TRN0219,04347,Delhi–Rohtak MEMU,Passenger,5,"STN102,STN119,STN120",16,100
TRN0220,04348,Rohtak–Delhi MEMU,Passenger,5,"STN120,STN119,STN102",16,100
TRN0221,04349,Delhi–Rewari MEMU,Passenger,5,"STN102,STN119,STN117",16,100
TRN0222,04350,Rewari–Delhi MEMU,Passenger,5,"STN117,STN119,STN102",16,100
TRN0223,04355,Delhi–Meerut MEMU,Passenger,5,"STN102,STN060,STN095",16,100
TRN0224,04356,Meerut–Delhi MEMU,Passenger,5,"STN095,STN060,STN102",16,100
TRN0225,04357,Delhi–Ghaziabad EMU,Passenger,5,"STN102,STN053",16,100
TRN0226,04358,Ghaziabad–Delhi EMU,Passenger,5,"STN053,STN102",16,100
TRN0227,04359,Delhi–Shahdara EMU,Passenger,5,"STN102,STN045",16,100
TRN0228,04360,Shahdara–Delhi EMU,Passenger,5,"STN045,STN102",16,100
TRN0229,04611,NDLS–Amritsar Holiday SF (NR sec),Superfast,2,"STN102,STN045,STN004,STN093,STN074,STN006",22,130
TRN0230,04612,Amritsar–NDLS Holiday SF (NR sec),Superfast,2,"STN006,STN074,STN093,STN004,STN045,STN102",22,130
TRN0231,12231,LKO–Chandigarh Express (NR sec),Superfast,2,"STN021,STN102,STN045,STN004,STN037",22,130
TRN0232,12232,Chandigarh–LKO Express (NR sec),Superfast,2,"STN037,STN004,STN045,STN102,STN021",22,130
TRN0233,14607,Ludhiana–Old Delhi Intercity (NR sec),Express,3,"STN093,STN004,STN045,STN043",22,120
TRN0234,14608,Old Delhi–Ludhiana Intercity (NR sec),Express,3,"STN043,STN045,STN004,STN093",22,120
TRN0235,04639,Chandigarh–Amritsar SF Spl (NR sec),Superfast,2,"STN037,STN004,STN093,STN074,STN006",22,130
TRN0236,04640,Amritsar–Chandigarh SF Spl (NR sec),Superfast,2,"STN006,STN074,STN093,STN004,STN037",22,130
TRN0237,04655,Nizamuddin–Ambala SF Spl,Superfast,2,"STN064,STN045,STN004",22,130
TRN0238,04656,Ambala–Nizamuddin SF Spl,Superfast,2,"STN004,STN045,STN064",22,130
TRN0239,04657,Nizamuddin–Dehradun SF Spl (NR sec),Superfast,2,"STN064,STN053,STN123,STN063,STN041",22,130
TRN0240,04658,Dehradun–Nizamuddin SF Spl (NR sec),Superfast,2,"STN041,STN063,STN123,STN053,STN064",22,130
TRN0241,22301,Patna–Howrah Vande Bharat (NR sec via ANVT–Prayagraj),Superfast,1,"STN009,STN119",16,160
TRN0242,22302,Howrah–Patna Vande Bharat (NR sec via Prayagraj–ANVT),Superfast,1,"STN119,STN009",16,160
TRN0243,22401,NDLS–Una Himachal SF (NR sec),Superfast,2,"STN102,STN045,STN004,STN037,STN003",22,130
TRN0244,22402,Una Himachal–NDLS SF (NR sec),Superfast,2,"STN003,STN037,STN004,STN045,STN102",22,130
TRN0245,14555,Old Delhi–Tanakpur (NR sec to Ghaziabad),Express,3,"STN043,STN053",22,120
TRN0246,14556,Tanakpur–Old Delhi (NR sec from Ghaziabad),Express,3,"STN053,STN043",22,120
TRN0247,14659,Delhi–Pathankot Express (NR sec),Express,3,"STN102,STN045,STN004,STN093,STN074,STN073",22,120
TRN0248,14660,Pathankot–Delhi Express (NR sec),Express,3,"STN073,STN074,STN093,STN004,STN045,STN102",22,120
